Comment,Description,Designator,Footprint,LCSC Part#

"RC0402FR-071KL","Surface Mount Chip Resistor, Thick Film, RC Series, 1 kohm, 62.5 mW, 1%, 50 V, 0402 [1005 Metric]","R8, R9, R10, R18, R20, R22, R23, R25, R29, R31, R39, R41, R42, R56, R59","SMD_0402(1005)_M","C2935237"
"W25Q128JVSIM","NOR Flash Serial (SPI, Dual SPI, Quad SPI) 3V/3.3V 128M-bit 16M x 8 6ns 8-Pin SOIC Tube","IC1","SOIC127P780X195-8N","C2613930"
"04025A270KAT2A","0402 27 pF 50 V ±10 % Tolerance C0G/NP0 SMT Multilayer Ceramic Capacitor","C1, C2","cap0402","C2168514"
"ERJ-8BSFR10V","Precision resistor, SMD 0.1 Ohm 0.33 W  ±  1 % 1206, ERJ8BSFR10V, Panasonic Automotive & Industrial Systems","R54","Chip2PinSM127P600-8N","C2079636"
"FL1200112","Crystal 12MHz ±30ppm (Tol) ±30ppm (Stability) 18pF FUND 80Ohm 4-Pin SMD T/R","X1","FP-FL1200112-MFG","C1985665"
"INA186A1IDDFR","40V, bi-directional, high-precision current sense amplifier w/ picoamp IB & ENABLE 8-SOT-23-THIN -40 to 125","U9","FP-DDF0008A-IPC_C","C1852082"
"7443551730","WURTH ELEKTRONIK         7443551730             Surface Mount Power Inductor, WE-HCI Series, 7.3 H, 13 A, 12 A, Shielded, 5900 ohm","L2","INDP130128X65N","C1331154"
"B0505MT-1WR4","DC DC Converter 5V 1W","U10","FP-B0505MT-1WR4-MFG","C919693"
"FAN48610UC50X","2.5 MHz, 1 A, Fixed-Output Synchronous TinyBoost® Regulator","IC2","BGA9C40P3X3_211X211X58","C890712"
"LT3080EDD-1#TRPBF","LDO Regulator Pos 0V to 36V 1.1A 8-Pin DFN EP T/R","U3, U7","LT-DD-8_V","C670293"
"ADUM4160BRIZ-RL","Digital Isolator CMOS 4-CH 12Mbps 16-Pin SOIC T/R","U2","ADI-RI-16-1_N","C660968"
"1744048-2","Conn Power HDR 2 POS 5.08mm Solder RA Thru-Hole 2 Terminal 1 Port Bag","J2","New footprint 1","C590637"
"PMN55ENEX","MOSFET N-CH 60V 4.5A 6TSOP","Q2","TSOP95P280X110-6N_PMN55ENE","C552991"
"TLV74333PDBVR","300mA Low-Dropout (LDO) Regulator 5-SOT-23 -40 to 125","U12","FP-DBV0005A-IPC_A","C408972"
"SSM3K7002CFU,LF","Trans MOSFET N-CH Si 60V 0.17A 3-Pin USM T/R","Q5","SSM3K7002CFU,LF-Footprint-1","C396059"
"LQM21PNR47MC0D","Inductor Power Chip Shielded Multi-Layer 0.47uH 20% 1MHz Ferrite 1.1A 0.15Ohm DCR 0805 T/R","L1","FP-LQM21PN_C0-IPC_C","C341670"
"RC0402FR-0724RL","Thick Film Resistors 24 OHM 1%","R13, R14, R15, R16, R53, R57","RESC0402(1005)_N","C274890"
"RC0402FR-07820KL","Res Thick Film RC0402FR-07820KL 0402 820K Ohm 1% 0.063W(1/16W) ±100ppm/°C Pad SMD T/R","R32, R33, R34, R35, R36, R37","SMD_0402(1005)_M","C273727"
"RQ3C150BCTB","Trans Mosfet P-ch 20V 15A 8-PIN Hsmt Ep T/r","Q4","RQ3C150BCTB-Footprint-1","C266247"
