Altium Designer Pick and Place Locations
C:\Users\simen\Documents\BluesmokeGithub\pcb\altium\Powersupply\jlcpcb_assembely_files\2022-06-13\14-55\Generates pick and place files.csv

========================================================================================================================
File Design Information:

Date:       13/06/22
Time:       14:55
Revision:   01e28904c0946ecfece15218a51fc204743149a2
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"SW3","16.0000","6.5000","TopLayer","0"
"C58","71.0000","18.0000","BottomLayer","90"
"C57","46.0000","18.2500","BottomLayer","90"
"C46","82.4230","52.1970","BottomLayer","270"
"C45","82.4230","24.2570","BottomLayer","270"
"C44","25.2730","5.8420","TopLayer","90"
"C43","40.0000","54.7500","TopLayer","90"
"C42","29.9720","30.4800","TopLayer","180"
"C41","41.1480","26.7970","TopLayer","0"
"C18","96.2660","20.8280","BottomLayer","180"
"C17","96.7740","19.1770","BottomLayer","270"
"C14","51.3080","30.9880","TopLayer","180"
"C13","45.7200","18.9230","TopLayer","90"
"C12","38.2270","30.8610","TopLayer","0"
"C11","40.6400","30.3530","TopLayer","0"
"C10","50.1650","21.5900","TopLayer","180"
"C9","52.8320","28.4480","TopLayer","270"
"C8","52.8320","25.1460","TopLayer","90"
"C7","42.6720","30.9880","TopLayer","0"
"C5","52.1970","26.7970","TopLayer","180"
"C4","40.8940","25.6540","TopLayer","0"
"C54","10.4140","67.5640","BottomLayer","270"
"C50","4.3180","63.1190","BottomLayer","270"
"C48","20.7500","15.0000","BottomLayer","270"
"C36","85.0000","9.5000","TopLayer","180"
"C40","29.1000","15.1000","TopLayer","270"
"C37","94.1037","4.3409","TopLayer","270"
"C39","89.1038","4.5409","TopLayer","270"
"C38","91.5037","4.4409","TopLayer","270"
"C34","91.5038","7.9409","TopLayer","270"
"C33","94.0000","8.0000","TopLayer","270"
"C29","96.2660","51.6890","BottomLayer","180"
"C28","96.6470","48.1330","BottomLayer","270"
"C35","89.1037","8.0409","TopLayer","270"
"C23","8.7500","31.7500","BottomLayer","180"
"C27","15.8750","16.3830","BottomLayer","90"
"C26","16.2560","19.4310","BottomLayer","0"
"C25","4.5720","11.0490","BottomLayer","180"
"C24","4.5720","12.3190","BottomLayer","0"
"C2","51.3080","13.7160","TopLayer","180"
"C1","48.5140","18.0340","TopLayer","90"
"TP3","33.9090","19.0500","TopLayer","0"
"TP2","3.3020","61.0870","TopLayer","0"
"TP1","96.3930","10.7950","TopLayer","0"
"IC2","66.2500","63.1500","BottomLayer","270"
