Library Reference,Designator,Footprint,Quantity,Comment,Description

"CMP-ROOT-0005-4","BAT1","THN803465AJ-Footprint-1","1","THN803465AJ","2500mAh 3.7V 1S 25C LiPO Battery JST plug for Drone RC Model Airplane Helicopter"
"CMP-0001-00026-3","C1, C2","cap0402","2","04025A270KAT2A","0402 27 pF 50 V ±10 % Tolerance C0G/NP0 SMT Multilayer Ceramic Capacitor"
"CMP-0001-00012-5","C3, C6, C15, C16, C30, C32","CAP0805","6","CL21B105KBFNNNG","SAMSUNG ELECTRO-MECHANICS - CL21B105KBFNNNG - MLCC CAPACITORS"
"CMP-0001-00001-10","C4, C5, C7, C8, C9, C10, C11, C12, C13, C14, C17, C18, C23, C24, C25, C26, C27, C28, C29, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C48, C50, C54, C57, C58, C59","cap0402","39","GRM155R71H104ME14D","0402 0.1 uF 50 V ±20% Tolerance X7R SMT Monolithic Ceramic Chip Capacitor"
"CMP-0001-00027-2","C19, C20","CAPAE7966X77N","2","865080545012","Cap Aluminum Lytic 100uF 35V 20% (6.3 X 7.7mm) SMD 300mA 2000h 105C T/R"
"CMP-0001-00015-4","C21, C22, C31, C47, C49, C51, C52, C53, C55, C56, C60","Chip2PinSM127P600-8N","11","CL31A106MBHNNNE","CAP CER 10UF 50V X5R 1206"
"CMP-ROOT-00025-4","CN1","","1","4DLCD-35480320","Non-Touch Graphic LCD Display Module Transmissive Red, Green, Blue (RGB) TFT - Color MCU, SPI 3.5"" (88.90mm) 320 x 480"
"CMP-003-0002-6","CN2","505110-4091-Footprint-1","1","505110-4091","MOLEX - 505110-4091 - FFC / FPC Board Connector, 0.5 mm, 40 Contacts, Receptacle, Easy-On 505110 Series, Surface Mount"
"CMP-ROOT-00021-3","D1, D6, D8","DFN445P552X120-3N","3","MBR12100LPS-TP","Diode Schottky 100V 12A TO277B"
"CMP-ROOT-00049-3","D2","ONSC-SOT-23-3-318-08_V","1","BZX84C18LT3G","Diode, Zener, Vr 18V, If 10mA, Pkg SOT-23 (TO-236), Vf 0.9V, Cj 100pF, Tj +150C, Ir 5mA"
"CMP-016-0000-3","D3, D4, D5","SOT95P245X110-3N","3","BAS70_R1_00001","Diode Schottky 70 V 200mA Surface Mount SOT-23"
"CMP-00013-1","D7","ONSC-SOT-223-4-318E-04_V","1","NYC228STT1G","Thyristor SCR 600V 15A 4-Pin(3+Tab) SOT-223 T/R"
"CMP-ROOT-00047-2","F1, F2","RESC3216X06N","2","0685H9100-01","Fuse Chip Fast Acting 10A 125V SMD Solder Pad 1206 3.2 X 1.58 X 0.65mm Ceramic T/R Automotive"
"CMP-006-0008-2","IC1","SOIC127P780X195-8N","1","W25Q128JVSIM","NOR Flash Serial (SPI, Dual SPI, Quad SPI) 3V/3.3V 128M-bit 16M x 8 6ns 8-Pin SOIC Tube"
"CMP-006-0009-3","IC2","BGA9C40P3X3_211X211X58","1","FAN48610UC50X","2.5 MHz, 1 A, Fixed-Output Synchronous TinyBoost® Regulator"
"CMP-ROOT-00018-6","J1","FP-USB4110-GF-A-MFG","1","USB4110-GF-A","Conn Usb 2.0 Type-c R/a SMT"
"CMP-003-0011-2","J2","New footprint 1","1","1744048-2","Conn Power HDR 2 POS 5.08mm Solder RA Thru-Hole 2 Terminal 1 Port Bag"
"CMP-003-0010-2","J5","New footprint 1","1","3221-10-0300-00","Conn Shrouded Header HDR 10 POS 1.27mm Solder ST SMD"
"CMP-ROOT-00045-2","L1","FP-LQM21PN_C0-IPC_C","1","LQM21PNR47MC0D","Inductor Power Chip Shielded Multi-Layer 0.47uH 20% 1MHz Ferrite 1.1A 0.15Ohm DCR 0805 T/R"
"CMP-ROOT-00003-2","L2","INDP130128X65N","1","7443551730","WURTH ELEKTRONIK         7443551730             Surface Mount Power Inductor, WE-HCI Series, 7.3 H, 13 A, 12 A, Shielded, 5900 ohm"
"CMP-00002-2","LED1, LED4, LED5","0805_A","3","150080BS75000","SMD LED blue 3.5 V 0805, 150080BS75000, Würth Elektronik"
"CMP-014-0001-2","Q1","ONSC-SOT-23-3-318-08_V","1","MMBT3904-TP","TRANS NPN 40V 0.2A SOT23"
"CMP-ROOT-00001-5","Q2","TSOP95P280X110-6N_PMN55ENE","1","PMN55ENEX","MOSFET N-CH 60V 4.5A 6TSOP"
"CMP-006-0007-3","Q3","SOT95P285X110-6N","1","ZXGD3009E6TA","IC GATE DRVR IGBT/MOSFET SOT23-6"
"CMP-ROOT-00044-5","Q4","RQ3C150BCTB-Footprint-1","1","RQ3C150BCTB","Trans Mosfet P-ch 20V 15A 8-PIN Hsmt Ep T/r"
"CMP-ROOT-00035-4","Q5, Q7","SSM3K7002CFU,LF-Footprint-1","2","SSM3K7002CFU,LF","Trans MOSFET N-CH Si 60V 0.17A 3-Pin USM T/R"
